kind,display,group,edit,create,delete,bulk_copy,export,cols,filterable,sortable,edges
activityarchive,ActivityArchives,data,no,no,no,no,no,6,3,6,0
actor,Actors,data,no,no,no,no,no,7,4,7,2
architecturenote,ArchitectureNotes,data,no,no,no,no,no,6,4,6,0
assemblecitation,AssembleCitations,data,no,no,no,no,no,8,5,7,1
assemblerun,AssembleRuns,data,no,no,no,no,no,8,5,7,1
behaviour,Behaviours,data,no,no,no,no,no,6,4,6,0
bencheval,BenchEvals,data,no,no,no,no,no,16,11,14,1
benchresult,BenchResults,data,no,no,no,no,no,19,11,13,2
benchrun,BenchRuns,data,no,no,no,no,no,17,8,12,1
codefile,CodeFiles,data,no,no,no,no,no,11,6,10,0
codesymbol,CodeSymbols,data,no,no,no,no,no,10,6,8,0
comment,Comments,data,yes,yes,yes,no,no,6,4,6,0
commitlink,CommitLinks,data,no,no,no,no,no,12,10,12,0
compressrun,CompressRuns,data,no,no,no,no,no,7,3,5,0
cookbookrecipe,CookbookRecipes,data,no,no,no,no,no,7,5,7,0
dbconfig,DBConfigs,data,no,no,no,no,no,6,3,6,0
decision,Decisions,data,no,no,no,no,no,16,9,14,0
draft,Drafts,data,no,no,no,no,no,8,4,7,0
entitytag,EntityTags,data,no,no,no,no,no,6,4,6,0
externalsource,ExternalSources,data,no,no,no,no,no,8,5,7,0
handoff,Handoffs,data,no,no,no,no,no,7,5,7,0
hotfix,Hotfixs,data,no,no,no,no,no,16,9,14,0
identityprofile,IdentityProfiles,data,no,no,no,no,no,7,5,7,0
incident,Incidents,data,no,no,no,no,no,8,5,8,0
interventionmetric,InterventionMetrics,data,no,no,no,no,no,9,7,9,0
knowledgeref,KnowledgeRefs,data,no,no,no,no,no,9,7,9,0
knowledgerevision,KnowledgeRevisions,data,no,no,no,no,no,8,5,7,0
learncandidate,LearnCandidates,data,no,no,no,no,no,15,11,14,0
learnrun,LearnRuns,data,no,no,no,no,no,8,4,6,0
memory,Memories,data,no,no,no,no,no,21,10,18,6
memorycoderef,MemoryCodeRefs,data,no,no,no,no,no,6,4,6,0
mission,Missions,data,no,no,no,no,no,9,5,9,1
mountalias,MountAlias,data,no,no,no,no,no,7,3,7,0
pattern,Patterns,data,no,no,no,no,no,16,9,14,0
plan,Plans,data,no,no,no,no,no,7,5,7,1
playbook,Playbooks,data,no,no,no,no,no,14,7,12,0
projectconfig,ProjectConfigs,data,no,no,no,no,no,7,4,7,0
project,Projects,data,no,no,no,no,no,7,3,7,2
prompt,Prompts,data,no,no,no,no,no,8,5,8,0
reminder,Reminders,data,no,no,no,no,no,11,7,11,0
renderhistory,RenderHistories,data,no,no,no,no,no,12,8,10,0
repo,Repos,data,no,no,no,no,no,8,5,8,2
ruleverifierref,RuleVerifierRefs,data,no,no,no,no,no,7,5,7,0
rule,Rules,data,no,no,no,no,no,18,11,16,0
runstep,RunSteps,data,no,no,no,no,no,9,6,8,1
run,Runs,data,no,no,no,no,no,10,6,10,1
session,Sessions,data,no,no,no,no,no,8,4,8,0
snapshot,Snapshots,data,no,no,no,no,no,15,7,13,0
suggestion,Suggestions,data,no,no,no,no,no,7,5,7,0
tag,Tags,data,no,no,no,no,no,6,4,6,0
tasklist,TaskLists,data,no,no,no,no,no,6,4,6,1
taskview,TaskViews,data,no,no,no,no,no,6,4,6,0
task,Tasks,data,yes,yes,yes,yes,yes,19,14,19,3
tastepref,TastePrefs,data,no,no,no,no,no,6,4,6,0
techdocpage,TechDocPages,data,no,no,no,no,no,8,6,8,1
techdoc,TechDocs,data,no,no,no,no,no,6,4,6,1
trustedplugin,TrustedPlugins,data,no,no,no,no,no,7,4,7,0
user,Users,data,no,no,no,no,no,8,5,7,0
workflow,Workflows,data,no,no,no,no,no,5,3,5,0
workspace,Workspaces,data,no,no,no,no,no,5,3,5,0
